KEY,EN,DE,RU,KA,FR,ES
activity.income,Income,Einnahme,Доход,შემოსავალი,Revenu,Ingreso
activity.expense,Expense,Ausgabe,Расход,ხარჯი,Dépense,Gasto
activity.items,{count} items,{count} Einträge,{count} записей,{count} ჩანაწერი,{count} entrées,{count} registros
activity.group_by_date,Date,Datum,Дата,თარიღი,Date,Fecha
activity.group_by_type,Type,Typ,Тип,ტიპი,Type,Tipo
settings.title,Settings,Einstellungen,Настройки,პარამეტრები,Paramètres,Ajustes
settings.language,Language,Sprache,Язык,ენა,Langue,Idioma
settings.language_subtitle,Choose your preferred language,Bevorzugte Sprache wählen,Выберите предпочитаемый язык,აირჩიეთ სასურველი ენა,Choisissez votre langue préférée,Elige tu idioma preferido
settings.appearance,Appearance,Erscheinungsbild,Внешний вид,გარეგნობა,Apparence,Apariencia
settings.preferences,Preferences,Einstellungen,Параметры,პარამეტრები,Préférences,Preferencias
settings.account,Account,Konto,Аккаунт,ანგარიში,Compte,Cuenta
settings.about,About,Über die App,О приложении,აპლიკაციის შესახებ,À propos,Acerca de
settings.sign_out,Sign out,Abmelden,Выйти,გასვლა,Se déconnecter,Cerrar sesión
settings.currency,Base Currency,Basiswährung,Валюта по умолчанию,ძირითადი ვალუტა,Devise de base,Moneda base
common.save,Save,Speichern,Сохранить,შენახვა,Enregistrer,Guardar
common.cancel,Cancel,Abbrechen,Отмена,გაუქმება,Annuler,Cancelar
common.delete,Delete,Löschen,Удалить,წაშლა,Supprimer,Eliminar
common.edit,Edit,Bearbeiten,Изменить,რედაქტირება,Modifier,Editar
common.rename,Rename,Umbenennen,Переименовать,გადარქმევა,Renommer,Renombrar
common.loading,Loading…,Wird geladen…,Загрузка…,იტვირთება…,Chargement…,Cargando…
common.error,Something went wrong,Etwas ist schiefgelaufen,Что-то пошло не так,შეცდომა მოხდა,Quelque chose s'est mal passé,Algo salió mal
common.settled_up,All settled up,Alles beglichen,Все расчёты выполнены,ყველაფერი ანაზღაურებულია,Tout réglé,Todo liquidado
common.select_all,Select All,Alle auswählen,Выбрать всё,ყველას არჩევა,Tout sélectionner,Seleccionar todo
common.deselect_all,Deselect All,Auswahl aufheben,Снять выбор,მონიშვნის მოხსნა,Désélectionner tout,Deseleccionar todo
common.apply,Apply,Anwenden,Применить,გამოყენება,Appliquer,Aplicar
common.clear_all,Clear all,Alle löschen,Очистить всё,გასუფთავება,Tout effacer,Borrar todo
common.clear,Clear,Löschen,Очистить,გასუფთავება,Effacer,Borrar
common.sort,Sort,Sortieren,Сортировка,დალაგება,Trier,Ordenar
common.refresh,Refresh,Aktualisieren,Обновить,განახლება,Actualiser,Actualizar
common.done,Done,Fertig,Готово,მზადაა,Terminé,Listo
common.select,Select,Auswählen,Выбрать,არჩევა,Sélectionner,Seleccionar
common.general,General,Allgemein,Общее,ზოგადი,Général,General
common.cannot_be_undone,This cannot be undone.,Dies kann nicht rückgängig gemacht werden.,Это нельзя отменить.,ეს შეუქცევადია.,Cette action est irréversible.,Esto no se puede deshacer.
common.newest_first,Newest first,Neueste zuerst,Сначала новые,ახალი პირველი,Plus récents d'abord,Más recientes primero
common.oldest_first,Oldest first,Älteste zuerst,Сначала старые,ძველი პირველი,Plus anciens d'abord,Más antiguos primero
common.largest_first,Largest first,Höchster Betrag zuerst,По убыванию суммы,დიდი თანხა პირველი,Montant le plus élevé d'abord,Mayor importe primero
common.smallest_first,Smallest first,Niedrigster Betrag zuerst,По возрастанию суммы,მცირე თანხა პირველი,Montant le plus faible d'abord,Menor importe primero
common.sort_newest,Newest,Neueste,Новые,ახალი,Récents,Más recientes
common.sort_oldest,Oldest,Älteste,Старые,ძველი,Anciens,Más antiguos
common.sort_largest,Largest,Größte,Большие,დიდი,Plus grands,Mayores
common.sort_smallest,Smallest,Kleinste,Маленькие,მცირე,Plus petits,Menores
common.name_az,Name A→Z,Name A→Z,Имя А→Я,სახელი ა→ჰ,Nom A→Z,Nombre A→Z
common.name_za,Name Z→A,Name Z→A,Имя Я→А,სახელი ჰ→ა,Nom Z→A,Nombre Z→A
common.delete_count,Delete ({count}),Löschen ({count}),Удалить ({count}),წაშლა ({count}),Supprimer ({count}),Eliminar ({count})
common.add_friend,Add friend,Freund hinzufügen,Добавить друга,მეგობრის დამატება,Ajouter un ami,Agregar amigo
common.attachments,Attachments,Anhänge,Вложения,დანართები,Pièces jointes,Adjuntos
common.camera,Camera,Kamera,Камера,კამერა,Caméra,Cámara
common.gallery,Gallery,Galerie,Галерея,გალერეა,Galerie,Galería
common.file,File,Datei,Файл,ფაილი,Fichier,Archivo
common.today_prefix,Today,Heute,Сегодня,დღეს,Aujourd'hui,Hoy
common.retry,Retry,Wiederholen,Повторить,ხელახლა ცდა,Réessayer,Reintentar
common.continue_anyway,Continue,Fortfahren,Продолжить,გაგრძელება,Continuer,Continuar
dashboard.title,Dashboard,Dashboard,Главная,მთავარი,Tableau de bord,Inicio
dashboard.net_worth,Net Worth,Nettovermögen,Чистый капитал,წმინდა ღირებულება,Valeur nette,Patrimonio neto
dashboard.net_worth_label,Net Worth,Nettovermögen,Чистый капитал,წმინდა ღირებულება,Valeur nette,Patrimonio neto
dashboard.wallet_cash,Cash Position,Cash Position,Cash Position,Cash Position,Cash Position,Cash Position
dashboard.wallet_cash_label,Cash Position,Cash Position,Cash Position,Cash Position,Cash Position,Cash Position
dashboard.shared_balance,Shared balance,Gemeinsamer Saldo,Общий баланс,საერთო ბალანსი,Solde partagé,Saldo compartido
dashboard.you_are_owed,Owed to you,Dein Guthaben,Вам должны,გეკუთვნით,On vous doit,Te deben
dashboard.you_owe,You owe,Du schuldest,Вы должны,თქვენ გეკუთვნის,Vous devez,Debes
dashboard.overall_owed,Overall you are owed,Gesamt steht dir zu,Всего вам должны,სულ გეკუთვნით,Total à recevoir,En total te deben
dashboard.overall_owe,Overall you owe,Gesamt schuldest du,Всего вы должны,სულ გეკუთვნის,Total à payer,En total debes
dashboard.overall_balanced,All settled up,Alles beglichen,Все расчёты выполнены,ყველაფერი ანაზღაურებულია,Tout réglé,Todo liquidado
dashboard.recent_activity,Recent activity,Letzte Aktivität,Последние операции,ბოლო ოპერაციები,Activité récente,Actividad reciente
dashboard.no_expenses,No expenses yet,Noch keine Ausgaben,Расходов ещё нет,ხარჯები ჯერ არ არის,Pas encore de dépenses,Aún no hay gastos
dashboard.start_tracking,Start Tracking,Tracking starten,Начать учёт,დაიწყეთ აღრიცხვა,Commencer le suivi,Empezar a registrar
dashboard.items,{count} items,{count} Einträge,{count} записей,{count} ჩანაწერი,{count} entrées,{count} registros
dashboard.your_finances,YOUR FINANCES,DEINE FINANZEN,ФИНАНСЫ,ფინანსები,VOS FINANCES,TUS FINANZAS
dashboard.personal_wallet,Cash Position,Cash Position,Cash Position,Cash Position,Cash Position,Cash Position
dashboard.cash_position,Cash position,Bargeldposition,Наличные,ნაღდი ფული,Position en espèces,Posición en efectivo
dashboard.shared_expenses,Shared Expenses,Geteilte Ausgaben,Общие расходы,საერთო ხარჯები,Dépenses partagées,Gastos compartidos
dashboard.net_group_position,Net group position,Netto-Gruppenposition,Чистая позиция по группам,ჯგუფების წმინდა პოზიცია,Position nette du groupe,Posición neta del grupo
dashboard.in_the_green,You are in the green,Du bist im Plus,Вы в плюсе,თქვენ პლუსში ხართ,Vous êtes dans le vert,Estás en positivo
dashboard.in_the_red,You are in the red,Du bist im Minus,Вы в минусе,თქვენ მინუსში ხართ,Vous êtes dans le rouge,Estás en negativo
dashboard.group_count_one,{count} group,{count} Gruppe,{count} группа,{count} ჯგუფი,{count} groupe,{count} grupo
dashboard.group_count_other,{count} groups,{count} Gruppen,{count} групп,{count} ჯგუფი,{count} groupes,{count} grupos
dashboard.trends,Trends & Insights,Trends & Einblicke,Тренды и аналитика,ტრენდები და ანალიტიკა,Tendances & insights,Tendencias e información
dashboard.ai_no_data,Add some expenses to get your first AI insight.,"Füge Ausgaben hinzu, um deinen ersten KI-Einblick zu erhalten.","Добавьте расходы, чтобы получить первый AI-инсайт.",დაამატე ხარჯები პირველი AI-ინსაითის მისაღებად.,Ajoutez des dépenses pour obtenir votre premier aperçu IA.,Agrega gastos para obtener tu primer análisis IA.
dashboard.ai_unavailable,AI insight unavailable,KI-Einblick nicht verfügbar,AI-инсайт недоступен,AI-ინსაითი მიუწვდომელია,Aperçu IA indisponible,IA no disponible
dashboard.ai_empty_state,Start tracking your spending — AI insights unlock once you have transactions.,"Beginne deine Ausgaben zu erfassen — KI-Einblicke werden freigeschaltet, sobald du Transaktionen hast.",Начните отслеживать расходы — AI-инсайты станут доступны после добавления транзакций.,დაიწყე ხარჯების აღრიცხვა — AI-ინსაითები გახსნილი იქნება ტრანზაქციების დამატების შემდეგ.,Commencez à suivre vos dépenses — les insights IA se débloquent dès que vous avez des transactions.,Empieza a registrar tus gastos — los insights de IA se desbloquean cuando tengas transacciones.
dashboard.ai_offline,You're offline. AI insights will resume when you reconnect.,"Du bist offline. KI-Einblicke kehren zurück, sobald du wieder verbunden bist.",Нет соединения. AI-инсайты вернутся при восстановлении связи.,ხაზგარეშე ხარ. AI-ინსაითები დაბრუნდება კავშირის აღდგენისას.,Vous êtes hors ligne. Les insights IA reprendront à la reconnexion.,Estás sin conexión. Los insights de IA volverán cuando te reconectes.
wallet_screen.add_entry,Add wallet entry,Eintrag hinzufügen,Добавить запись,ჩანაწერის დამატება,Ajouter une entrée,Añadir entrada
wallet_screen.filter_all,All,Alle,Все,ყველა,Tout,Todo
wallet_screen.filter_income,Income,Einnahmen,Доходы,შემოსავალი,Revenus,Ingresos
wallet_screen.filter_expense,Expense,Ausgaben,Расходы,ხარჯი,Dépenses,Gastos
wallet_screen.spending_breakdown,Spending breakdown,Ausgabenübersicht,Разбивка расходов,ხარჯების დეტალი,Répartition des dépenses,Desglose de gastos
wallet_screen.income_breakdown,Income breakdown,Einnahmenübersicht,Разбивка доходов,შემოსავლების დეტალი,Répartition des revenus,Desglose de ingresos
wallet_screen.income_entries,Income entries,Einnahmeeinträge,Записи доходов,შემოსავლის ჩანაწერები,Entrées de revenus,Entradas de ingresos
wallet_screen.expense_entries,Expense entries,Ausgabeeinträge,Записи расходов,ხარჯის ჩანაწერები,Entrées de dépenses,Entradas de gastos
wallet_screen.all_entries,All entries,Alle Einträge,Все записи,ყველა ჩანაწერი,Toutes les entrées,Todas las entradas
wallet_screen.personal_wallet,Personal wallet,Persönliche Brieftasche,Личный кошелёк,პირადი საფულე,Portefeuille personnel,Cartera personal
wallet_screen.no_entries_found,No entries found,Keine Einträge gefunden,Записей не найдено,ჩანაწერი ვერ მოიძებნა,Aucune entrée trouvée,No se encontraron entradas
wallet_screen.no_entries_hint,Try a different filter or add a new entry.,Anderen Filter wählen oder neuen Eintrag hinzufügen.,Попробуйте другой фильтр или добавьте запись.,სცადეთ სხვა ფილტრი ან დაამატეთ ჩანაწერი.,Essayez un autre filtre ou ajoutez une entrée.,Prueba un filtro diferente o añade una nueva entrada.
wallet_screen.delete_title,Delete entries?,Einträge löschen?,Удалить записи?,ჩანაწერების წაშლა?,Supprimer les entrées ?,¿Eliminar entradas?
wallet_screen.delete_confirm,Delete {count} wallet entries? This cannot be undone.,{count} Einträge löschen? Dies kann nicht rückgängig gemacht werden.,Удалить {count} записей? Это нельзя отменить.,{count} ჩანაწერის წაშლა? ეს შეუქცევადია.,Supprimer {count} entrées ? Cette action est irréversible.,¿Eliminar {count} entradas? Esto no se puede deshacer.
wallet_screen.delete_confirm_one,Delete 1 wallet entry? This cannot be undone.,1 Eintrag löschen? Dies kann nicht rückgängig gemacht werden.,Удалить 1 запись? Это нельзя отменить.,1 ჩანაწერის წაშლა? ეს შეუქცევადია.,Supprimer 1 entrée ? Cette action est irréversible.,¿Eliminar 1 entrada? Esto no se puede deshacer.
wallet_screen.entry_count_one,1 entry,1 Eintrag,1 запись,1 ჩანაწერი,1 entrée,1 entrada
wallet_screen.entry_count_other,{count} entries,{count} Einträge,{count} записей,{count} ჩანაწერი,{count} entrées,{count} entradas
wallet_screen.sort_tooltip,Sort,Sortieren,Сортировка,დალაგება,Trier,Ordenar
groups_screen.filter_by_group,Filter by group,Nach Gruppe filtern,Фильтр по группе,ჯგუფის მიხედვით,Filtrer par groupe,Filtrar por grupo
groups_screen.new_group,New Group,Neue Gruppe,Новая группа,ახალი ჯგუფი,Nouveau groupe,Nuevo grupo
groups_screen.add_expense,Add Expense,Ausgabe hinzufügen,Добавить расход,ხარჯის დამატება,Ajouter une dépense,Añadir gasto
groups_screen.recent_activity,Recent activity,Letzte Aktivität,Последние операции,ბოლო აქტივობა,Activité récente,Actividad reciente
groups_screen.no_expenses_yet,No expenses yet. Tap Add expense to get started.,Noch keine Ausgaben. Tippe auf Ausgabe hinzufügen.,Расходов пока нет. Нажмите «Добавить расход».,ხარჯები ჯერ არ არის. დააჭირეთ ხარჯის დამატება.,Pas encore de dépenses. Appuyez sur Ajouter une dépense.,Aún no hay gastos. Toca Añadir gasto para empezar.
groups_screen.no_expenses_filter,No expenses match the current filter.,Keine Ausgaben entsprechen dem aktuellen Filter.,Расходов по выбранному фильтру нет.,ფილტრს ვერ დაემთხვა ხარჯი.,Aucune dépense ne correspond au filtre actuel.,Ningún gasto coincide con el filtro actual.
groups_screen.could_not_load,Could not load groups,Gruppen konnten nicht geladen werden,Не удалось загрузить группы,ჯგუფების ჩატვირთვა ვერ მოხერხდა,Impossible de charger les groupes,No se pudieron cargar los grupos
groups_screen.owed_to_you,Owed to you,Dein Guthaben,Вам должны,გეკუთვნით,On vous doit,Te deben
groups_screen.you_owe,You owe,Du schuldest,Вы должны,გეკუთვნის,Vous devez,Debes
groups_screen.overall_owed,Overall you are owed,Gesamt steht dir zu,Всего вам должны,სულ გეკუთვნით,Total à recevoir,En total te deben
groups_screen.overall_owe,Overall you owe,Gesamt schuldest du,Всего вы должны,სულ გეკუთვნის,Total à payer,En total debes
groups_screen.delete_title,Delete groups?,Gruppen löschen?,Удалить группы?,ჯგუფების წაშლა?,Supprimer les groupes ?,¿Eliminar grupos?
groups_screen.delete_confirm,Delete {count} groups? As the owner you can restore them from the Activity screen within 12 months.,{count} Gruppen löschen? Als Besitzer kannst du sie innerhalb von 12 Monaten wiederherstellen.,Удалить {count} групп? Как владелец вы можете восстановить их в разделе «Активность» в течение 12 месяцев.,{count} ჯგუფის წაშლა? მფლობელი 12 თვის განმავლობაში შეძლებს აღდგენას.,Supprimer {count} groupes ? En tant que propriétaire vous pouvez les restaurer depuis l'Activité dans les 12 mois.,¿Eliminar {count} grupos? Como propietario puedes restaurarlos desde la pantalla de Actividad en 12 meses.
groups_screen.delete_confirm_one,Delete 1 group? As the owner you can restore it from the Activity screen within 12 months.,1 Gruppe löschen? Als Besitzer kannst du sie innerhalb von 12 Monaten wiederherstellen.,Удалить 1 группу? Как владелец вы можете восстановить её в разделе «Активность» в течение 12 месяцев.,1 ჯგუფის წაშლა? მფლობელი 12 თვის განმავლობაში შეძლებს აღდგენას.,Supprimer 1 groupe ? En tant que propriétaire vous pouvez le restaurer depuis l'Activité dans les 12 mois.,¿Eliminar 1 grupo? Como propietario puedes restaurarlo desde la pantalla de Actividad en 12 meses.
groups_screen.error_delete,Could not delete some groups.,Einige Gruppen konnten nicht gelöscht werden.,Не удалось удалить некоторые группы.,ზოგიერთი ჯგუფის წაშლა ვერ მოხერხდა.,Impossible de supprimer certains groupes.,No se pudieron eliminar algunos grupos.
groups_screen.sort_activity_tooltip,Sort activity,Aktivität sortieren,Сортировать активность,აქტივობის დალაგება,Trier l'activité,Ordenar actividad
groups_screen.sort_groups_tooltip,Sort groups,Gruppen sortieren,Сортировать группы,ჯგუფების დალაგება,Trier les groupes,Ordenar grupos
activity_screen.search_hint,"Search expenses, groups, people…","Ausgaben, Gruppen, Personen suchen…","Поиск расходов, групп, людей…","ხარჯების, ჯგუფების, ადამიანების ძიება…","Rechercher dépenses, groupes, personnes…","Buscar gastos, grupos, personas…"
activity_screen.could_not_load,Could not load activity,Aktivität konnte nicht geladen werden,Не удалось загрузить активность,აქტივობის ჩატვირთვა ვერ მოხერხდა,Impossible de charger l'activité,No se pudo cargar la actividad
activity_screen.delete_items_one,Delete 1 item?,1 Element löschen?,Удалить 1 элемент?,1 ელემენტის წაშლა?,Supprimer 1 élément ?,¿Eliminar 1 elemento?
activity_screen.delete_items_other,Delete {count} items?,{count} Elemente löschen?,Удалить {count} элементов?,{count} ელემენტის წაშლა?,Supprimer {count} éléments ?,¿Eliminar {count} elementos?
activity_screen.filter_wallet,Wallet,Brieftasche,Кошелёк,საფულე,Portefeuille,Cartera
activity_screen.filter_groups,Groups,Gruppen,Группы,ჯგუფები,Groupes,Grupos
activity_screen.filter_income,Income,Einnahmen,Доходы,შემოსავალი,Revenus,Ingresos
activity_screen.section_today,Today,Heute,Сегодня,დღეს,Aujourd'hui,Hoy
activity_screen.section_yesterday,Yesterday,Gestern,Вчера,გუშინ,Hier,Ayer
activity_screen.section_this_week,This Week,Diese Woche,На этой неделе,ამ კვირაში,Cette semaine,Esta semana
activity_screen.section_earlier,Earlier,Früher,Ранее,ადრე,Plus tôt,Antes
activity_screen.type_income,Income,Einnahmen,Доходы,შემოსავალი,Revenus,Ingresos
activity_screen.type_wallet,Wallet,Brieftasche,Кошелёк,საფულე,Portefeuille,Cartera
activity_screen.type_settlements,Settlements,Abrechnungen,Расчёты,ანგარიშსწორება,Règlements,Liquidaciones
activity_screen.type_group_expenses,Group Expenses,Gruppenausgaben,Расходы группы,ჯგუფის ხარჯები,Dépenses du groupe,Gastos del grupo
activity_screen.type_group_events,Group Events,Gruppenereignisse,События группы,ჯგუფის მოვლენები,Événements du groupe,Eventos del grupo
activity_screen.type_edits_deletes,Edits & Deletes,Bearbeitungen & Löschungen,Изменения и удаления,რედაქტირება და წაშლა,Modifications et suppressions,Ediciones y eliminaciones
activity_screen.type_other,Other,Sonstiges,Прочее,სხვა,Autres,Otros
categories.general,General,Allgemein,Общее,ზოგადი,Général,General
categories.food_drink,Food & drink,Essen & Trinken,Еда и напитки,საკვები და სასმელი,Nourriture et boissons,Comida y bebida
categories.transport,Transport,Transport,Транспорт,ტრანსპორტი,Transport,Transporte
categories.entertainment,Entertainment,Unterhaltung,Развлечения,გართობა,Divertissement,Entretenimiento
categories.bills_utilities,Bills & utilities,Rechnungen & Versorgung,Счета и услуги,გადასახადები,Factures et services,Facturas y servicios
categories.shopping,Shopping,Einkaufen,Шоппинг,შოპინგი,Shopping,Compras
categories.travel,Travel,Reisen,Путешествия,მოგზაურობა,Voyage,Viajes
categories.other,Other,Sonstiges,Прочее,სხვა,Autre,Otro
add_expense.title_expense,Add expense,Ausgabe hinzufügen,Добавить расход,ხარჯის დამატება,Ajouter une dépense,Añadir gasto
add_expense.title_income,Add income,Einnahme hinzufügen,Добавить доход,შემოსავლის დამატება,Ajouter un revenu,Añadir ingreso
add_expense.amount_currency,Amount & currency,Betrag & Währung,Сумма и валюта,თანხა და ვალუტა,Montant et devise,Importe y moneda
add_expense.amount_label,Amount,Betrag,Сумма,თანხა,Montant,Importe
add_expense.how_to_split,How to split,Wie aufteilen,Как разделить,როგორ გავყოთ,Comment diviser,Cómo dividir
add_expense.split_even,Even,Gleich,Поровну,თანაბრად,Égal,Igual
add_expense.split_percent,%,%,%,%,%,%
add_expense.split_shares,Shares,Anteile,Доли,წილები,Parts,Partes
add_expense.split_manual,Manual,Manuell,Вручную,ხელით,Manuel,Manual
add_expense.split_hint_percent,Percentage per person (total = 100),Prozent pro Person (Summe = 100),Процент на человека (сумма = 100),პროცენტი ადამიანზე (ჯამი = 100),Pourcentage par personne (total = 100),Porcentaje por persona (total = 100)
add_expense.split_hint_shares,Relative shares per person,Relative Anteile pro Person,Относительные доли,ფარდობითი წილები,Parts relatives par personne,Partes relativas por persona
add_expense.split_hint_manual,Exact amount per person,Genaue Summe pro Person,Точная сумма на человека,ზუსტი თანხა ადამიანზე,Montant exact par personne,Importe exacto por persona
add_expense.details,Details,Details,Детали,დეტალები,Détails,Detalles
add_expense.description_label,Description,Beschreibung,Описание,აღწერა,Description,Descripción
add_expense.description_hint,What was this for?,Wofür war das?,Для чего это было?,რისთვის იყო?,Pour quoi était-ce ?,¿Para qué fue esto?
add_expense.notes_label,Notes,Notizen,Заметки,შენიშვნები,Notes,Notas
add_expense.notes_hint,Optional note…,Optionale Notiz…,Необязательная заметка…,სურვილისამებრ შენიშვნა…,Note optionnelle…,Nota opcional…
add_expense.category_label,Category,Kategorie,Категория,კატეგორია,Catégorie,Categoría
add_expense.payer_label,Paid by,Bezahlt von,Кто платил,გადაიხადა,Payé par,Pagado por
add_expense.income_type,Income type,Einnahmenart,Тип дохода,შემოსავლის ტიპი,Type de revenu,Tipo de ingreso
