key,en,de,es,fr,ka,ru
add_expense.apply,Apply,Anwenden,Aplicar,Appliquer,გამოყენება,Применить
add_expense.back,Back,Zurück,Atrás,Retour,უკან,Назад
add_expense.category_label,Category,Kategorie,Categoría,Catégorie,კატეგორია,Категория
add_expense.change_icon,Change icon & colour,Symbol & Farbe ändern,Cambiar icono y color,Changer l'icône et la couleur,ხატისა და ფერის შეცვლა,Изменить иконку и цвет
add_expense.colour_label,Colour,Farbe,Color,Couleur,ფერი,Цвет
add_expense.could_not_get_user,Could not get user. Try again.,Benutzer konnte nicht abgerufen werden. Erneut versuchen.,No se pudo obtener el usuario. Inténtalo de nuevo.,Impossible d'obtenir l'utilisateur. Réessayez.,მომხმარებლის მიღება ვერ მოხდა. სცადეთ ახლავე.,Не удалось получить пользователя. Попробуйте снова.
add_expense.could_not_save,Could not save entry,Eintrag konnte nicht gespeichert werden,No se pudo guardar la entrada,Impossible d'enregistrer l'entrée,ჩანაწერის შენახვა ვერ მოხდა,Не удалось сохранить запись
add_expense.could_not_save_expense,Could not save expense,Ausgabe konnte nicht gespeichert werden,No se pudo guardar el gasto,Impossible d'enregistrer la dépense,ხარჯის შენახვა ვერ მოხდა,Не удалось сохранить расход
add_expense.description_hint,What was this for?,Wofür war das?,¿Para qué fue esto?,Pour quoi était-ce ?,რისთვის იყო?,Для чего это было?
add_expense.description_label,Description,Beschreibung,Descripción,Description,აღწერა,Описание
add_expense.details,Details,Details,Detalles,Détails,დეტალები,Детали
add_expense.enter_share,Enter at least one share,Mindestens einen Anteil eingeben,Introduce al menos una parte,Entrez au moins une part,შეიყვანეთ სულ მცირე ერთი წილი,Введите хотя бы одну долю
add_expense.enter_valid_amount,Enter a valid amount,Gültigen Betrag eingeben,Introduce un importe válido,Entrez un montant valide,შეიყვანეთ სწორი თანხა,Введите корректную сумму
add_expense.expense_saved,Personal expense saved,Persönliche Ausgabe gespeichert,Gasto personal guardado,Dépense personnelle enregistrée,პირადი ხარჯი შეინახა,Личный расход сохранён
add_expense.group_expense_saved,Expense saved,Ausgabe gespeichert,Gasto guardado,Dépense enregistrée,ხარჯი შეინახა,Расход сохранён
add_expense.how_to_split,How to split,Wie aufteilen,Cómo dividir,Comment diviser,როგორ გავყოთ,Как разделить
add_expense.icon_colour,Icon & Colour,Symbol & Farbe,Icono y color,Icône et couleur,ხატი და ფერი,Иконка и цвет
add_expense.icon_label,Icon,Symbol,Icono,Icône,ხატი,Значок
add_expense.income_recorded,Income recorded,Einnahme gespeichert,Ingreso registrado,Revenu enregistré,შემოსავალი ჩაიწერა,Доход записан
add_expense.income_type,Income type,Einnahmenart,Tipo de ingreso,Type de revenu,შემოსავლის ტიპი,Тип дохода
add_expense.manual_enter_total,Enter total amount first,Zuerst Gesamtbetrag eingeben,Introduce primero el importe total,Entrez d'abord le montant total,ჯერ შეიყვანეთ საერთო თანხა,Сначала введите общую сумму
add_expense.manual_rate_label,Manual rate (bank / cash),Manueller Kurs (Bank / Bar),Tasa manual (banco / efectivo),Taux manuel (banque / espèces),ხელით შეყვანილი კურსი (ბანკი / ნაღდი),Ручной курс (банк / наличные)
add_expense.manual_rate_optional,Manual Rate (Optional),Manueller Kurs (Optional),Tasa manual (opcional),Taux manuel (optionnel),ხელით კურსი (სურვილისამებრ),Ручной курс (необязательно)
add_expense.manual_sum_matches,Sum: {currency} {sum} — matches total,Summe: {currency} {sum} — entspricht Gesamt,Suma: {currency} {sum} — coincide,Somme : {currency} {sum} — correspond,ჯამი: {currency} {sum} — ემთხვევა,Сумма: {currency} {sum} — совпадает с итогом
add_expense.manual_sum_over,Sum: {currency} {sum} — {diff} over total,Summe: {currency} {sum} — {diff} zu viel,Suma: {currency} {sum} — {diff} de más,Somme : {currency} {sum} — {diff} de trop,ჯამი: {currency} {sum} — {diff} ზედმეტია,Сумма: {currency} {sum} — превышение на {diff}
add_expense.manual_sum_remaining,Sum: {currency} {sum} — {diff} remaining,Summe: {currency} {sum} — {diff} verbleibend,Suma: {currency} {sum} — {diff} restante,Somme : {currency} {sum} — {diff} restant,ჯამი: {currency} {sum} — {diff} დარცა,Сумма: {currency} {sum} — осталось {diff}
add_expense.member_n,Member {n},Mitglied {n},Miembro {n},Membre {n},წევრი {n},Участник {n}
add_expense.new_category_btn,New,Neu,Nuevo,Nouveau,ახალი,Новая
add_expense.next,Next,Weiter,Siguiente,Suivant,შემდეგი,Далее
add_expense.no_members,No members in this group. Add members first.,Keine Mitglieder in dieser Gruppe. Zuerst Mitglieder hinzufügen.,No hay miembros en este grupo. Añade miembros primero.,Aucun membre dans ce groupe. Ajoutez d'abord des membres.,ჯგუფში წევრები არ არიან. ჯერ დაამატეთ წევრები.,В группе нет участников. Сначала добавьте участников.
add_expense.notes_hint,Optional note…,Optionale Notiz…,Nota opcional…,Note optionnelle…,სურვილისამებრ შენიშვნა…,Необязательная заметка…
add_expense.notes_label,Notes,Notizen,Notas,Notes,შენიშვნები,Заметки
add_expense.payer_label,Paid by,Bezahlt von,Pagado por,Payé par,გადაიხადა,Кто платил
add_expense.percentages_must_sum,Percentages must sum to 100,Prozentwerte müssen 100 ergeben,Los porcentajes deben sumar 100,Les pourcentages doivent totaliser 100,პროცენტების ჯამი უნდა იყოს 100,Сумма процентов должна быть 100
add_expense.save_expense,Save expense,Ausgabe speichern,Guardar gasto,Enregistrer la dépense,ხარჯის შენახვა,Сохранить расход
add_expense.save_income,Save income,Einnahme speichern,Guardar ingreso,Enregistrer le revenu,შემოსავლის შენახვა,Сохранить доход
add_expense.saving,Saving…,Speichern…,Guardando…,Enregistrement…,ინახება…,Сохраняю…
add_expense.split_even,Even,Gleich,Igual,Égal,თანაბრად,Поровну
add_expense.split_evenly_members,Split evenly among {count} members,Gleichmäßig auf {count} Mitglieder aufteilen,Dividir equitativamente entre {count} miembros,Répartir équitablement entre {count} membres,თანაბრად {count} წევრზე,Равномерно на {count} участников
add_expense.split_hint_manual,Exact amount per person,Genaue Summe pro Person,Importe exacto por persona,Montant exact par personne,ზუსტი თანხა ადამიანზე,Точная сумма на человека
add_expense.split_hint_percent,Percentage per person (total = 100),Prozent pro Person (Summe = 100),Porcentaje por persona (total = 100),Pourcentage par personne (total = 100),პროცენტი ადამიანზე (ჯამი = 100),Процент на человека (сумма = 100)
add_expense.split_hint_shares,Relative shares per person,Relative Anteile pro Person,Partes relativas por persona,Parts relatives par personne,ფარდობითი წილები,Относительные доли
add_expense.split_label,Split,Aufteilen,Dividir,Répartir,გაყოფა,Разделить
add_expense.split_manual,Manual,Manuell,Manual,Manuel,ხელით,Вручную
add_expense.split_percent,%,%,%,%,%,%
add_expense.split_shares,Shares,Anteile,Partes,Parts,წილები,Доли
add_expense.standard_categories,Standard,Standard,Estándar,Standard,სტანდარტული,Стандартные
add_expense.title_expense,Add expense,Ausgabe hinzufügen,Añadir gasto,Ajouter une dépense,ხარჯის დამატება,Добавить расход
add_expense.title_income,Add income,Einnahme hinzufügen,Añadir ingreso,Ajouter un revenu,შემოსავლის დამატება,Добавить доход
add_expense.unsupported_file,"Unsupported file type. Allowed: images, PDF, TXT, MD.","Nicht unterstützter Dateityp. Erlaubt: Bilder, PDF, TXT, MD.","Tipo de archivo no admitido. Permitidos: imágenes, PDF, TXT, MD.","Type de fichier non pris en charge. Autorisés : images, PDF, TXT, MD.","მხარდაუჭერი ფაილის ტიპი. დაშვებულია: სურათები, PDF, TXT, MD.","Неподдерживаемый тип файла. Разрешены: изображения, PDF, TXT, MD."
add_expense.your_categories,Your Categories,Eigene Kategorien,Tus categorías,Vos catégories,თქვენი კატეგორიები,Ваши категории
analytics.all_groups,All groups,Alle Gruppen,Todos los grupos,Tous les groupes,ყველა ჯგუფი,Все группы
analytics.all_transactions,All Transactions,Alle Transaktionen,Todas las transacciones,Toutes les transactions,ყველა ტრანზაქცია,Все операции
analytics.balance_sheet,Balance Sheet,Bilanz,Balance,Bilan,ბალანსი,Баланс
analytics.burn_rate,Burn Rate,Ausgaberate,Tasa de gasto,Taux de dépense,ხარჯვის ტემპი,Темп трат
analytics.burn_rate_detail,Burn rate: {currency} {rate} / day,Ausgaberate: {currency} {rate} / Tag,Tasa: {currency} {rate} / día,Taux : {currency} {rate} / jour,ხარჯის ტემპი: {currency} {rate} / დღე,Расход: {currency} {rate} / день
analytics.chart_bar,Bar,Balken,Barra,Barre,ბარი,Столбцы
analytics.chart_donut,Donut,Donut,Dona,Donut,დონატი,Пончик
analytics.chart_pie,Pie,Kreis,Tarta,Camembert,ტორტი,Круговая
analytics.currencies,Currencies,Währungen,Divisas,Devises,ვალუტები,Валюты
analytics.daily_burn,Daily burn,Tagesbedarf,Gasto diario,Dépense journalière,დღიური ხარჯი,Дневной расход
analytics.date_custom,Custom,Benutzerdefiniert,Personalizado,Personnalisé,მორგებული,Произвольный
analytics.filter_all,All,Alle,Todo,Tout,ყველა,Все
analytics.groups,Groups,Gruppen,Grupos,Groupes,ჯგუფები,Группы
analytics.income,Income,Einnahmen,Ingresos,Revenus,შემოსავალი,Доходы
analytics.income_breakdown,Income by Category,Einnahmen nach Kategorie,Ingresos por categoría,Revenus par catégorie,შემოსავალი კატეგორიით,Доходы по категориям
analytics.income_vs_expense,Income vs Expense,Einnahmen vs. Ausgaben,Ingresos vs Gastos,Revenus vs Dépenses,შემოსავალი vs ხარჯი,Доходы и расходы
analytics.mode_balance,Balance Sheet,Bilanz,Balance,Bilan,ბალანსი,Баланс
analytics.mode_income,Income,Einnahmen,Ingresos,Revenus,შემოსავლები,Доходы
analytics.mode_spending,Spending,Ausgaben,Gastos,Dépenses,ხარჯები,Расходы
analytics.more,more,weitere,más,de plus,მეტი,ещё
analytics.more_transactions,+{n} more transactions,+{n} weitere Transaktionen,+{n} transacciones más,+{n} transactions de plus,კიდევ {n} ტრანზაქცია,ещё {n} операций
analytics.net_flow,Net Flow,Nettofluss,Flujo neto,Flux net,წმინდა ნაკადი,Чистый поток
analytics.net_position,Net Position,Nettoposition,Posición neta,Position nette,წმინდა პოზიცია,Чистая позиция
analytics.net_position_trend,Net Position — 30 Days,Nettoposition — 30 Tage,Posición neta — 30 días,Position nette — 30 jours,წმინდა პოზიცია — 30 დღე,Чистая позиция — 30 дней
analytics.no_data,No spending data yet,Noch keine Ausgabendaten,Aún no hay datos de gastos,Pas encore de données de dépenses,ხარჯების მონაცემები ჯერ არ არის,Данных о расходах пока нет
analytics.no_data_hint,Add expenses to see your spending insights.,"Füge Ausgaben hinzu, um Einblicke zu sehen.",Añade gastos para ver tus estadísticas.,Ajoutez des dépenses pour voir vos statistiques.,დაამატეთ ხარჯები სტატისტიკის სანახავად.,Добавьте расходы для просмотра аналитики.
analytics.other,Other,Sonstiges,Otros,Autres,სხვა,Другое
analytics.pct_of_spend,{pct}% of spend,{pct}% der Ausgaben,{pct}% del gasto,{pct}% des dépenses,{pct}% ხარჯებიდან,{pct}% от расходов
analytics.per_day,per day,pro Tag,por día,par jour,დღეში,в день
analytics.spending,Spending,Ausgaben,Gastos,Dépenses,ხარჯები,Расходы
analytics.spending_by_category,Spending by Category,Ausgaben nach Kategorie,Gastos por categoría,Dépenses par catégorie,ხარჯები კატეგორიის მიხედვით,Расходы по категориям
analytics.start_tracking,Start Tracking,Tracking starten,Empezar a registrar,Commencer le suivi,დაიწყეთ აღრიცხვა,Начать учёт
analytics.title,Analytics,Analyse,Análisis,Analyses,ანალიტიკა,Аналитика
analytics.today,Today,Heute,Hoy,Aujourd'hui,დღეს,Сегодня
analytics.top_category,Top Category,Hauptkategorie,Categoría principal,Catégorie principale,მთავარი კატეგორია,Главная категория
analytics.total,Total,Gesamt,Total,Total,სულ,Итого
analytics.total_expenses,Total Expenses,Gesamtausgaben,Gastos totales,Dépenses totales,სულ ხარჯები,Итого расходов
analytics.total_income,Total Income,Gesamteinnahmen,Ingresos totales,Revenus totaux,სულ შემოსავალი,Итого доходов
analytics.vs_prev_pct,{sign}{pct}% vs prev,{sign}{pct}% ggü. Vorperiode,{sign}{pct}% vs. anterior,{sign}{pct}% vs préc.,{sign}{pct}% წინა პერ.,{sign}{pct}% к пред. периоду
analytics.vs_prev_period,vs prev period,vs. Vorperiode,vs período anterior,vs période précédente,წინა პერიოდთან,vs прошлый период
analytics.wallet,Wallet,Geldbörse,Cartera,Portefeuille,საფულე,Кошелёк
categories.bills_utilities,Bills & utilities,Rechnungen & Versorgung,Facturas y servicios,Factures et services,გადასახადები,Счета и услуги
categories.entertainment,Entertainment,Unterhaltung,Entretenimiento,Divertissement,გართობა,Развлечения
categories.food_drink,Food & drink,Essen & Trinken,Comida y bebida,Nourriture et boissons,საკვები და სასმელი,Еда и напитки
categories.general,General,Allgemein,General,Général,ზოგადი,Общее
categories.other,Other,Sonstiges,Otro,Autre,სხვა,Прочее
categories.shopping,Shopping,Einkaufen,Compras,Shopping,შოპინგი,Шоппинг
categories.transport,Transport,Transport,Transporte,Transport,ტრანსპორტი,Транспорт
categories.travel,Travel,Reisen,Viajes,Voyage,მოგზაურობა,Путешествия
common.add_friend,Add friend,Freund hinzufügen,Agregar amigo,Ajouter un ami,მეგობრის დამატება,Добавить друга
common.apply,Apply,Anwenden,Aplicar,Appliquer,გამოყენება,Применить
common.attachments,Attachments,Anhänge,Adjuntos,Pièces jointes,დანართები,Вложения
common.camera,Camera,Kamera,Cámara,Caméra,კამერა,Камера
common.cancel,Cancel,Abbrechen,Cancelar,Annuler,გაუქმება,Отмена
common.cannot_be_undone,This cannot be undone.,Dies kann nicht rückgängig gemacht werden.,Esto no se puede deshacer.,Cette action est irréversible.,ეს შეუქცევადია.,Это нельзя отменить.
common.clear,Clear,Löschen,Borrar,Effacer,გასუფთავება,Очистить
common.clear_all,Clear all,Alle löschen,Borrar todo,Tout effacer,გასუფთავება,Очистить всё
common.continue_anyway,Continue,Fortfahren,Continuar,Continuer,გაგრძელება,Продолжить
common.delete,Delete,Löschen,Eliminar,Supprimer,წაშლა,Удалить
common.delete_count,Delete ({count}),Löschen ({count}),Eliminar ({count}),Supprimer ({count}),წაშლა ({count}),Удалить ({count})
common.deselect_all,Deselect All,Auswahl aufheben,Deseleccionar todo,Désélectionner tout,მონიშვნის მოხსნა,Снять выбор
common.done,Done,Fertig,Listo,Terminé,მზადაა,Готово
common.edit,Edit,Bearbeiten,Editar,Modifier,რედაქტირება,Изменить
common.error,Something went wrong,Etwas ist schiefgelaufen,Algo salió mal,Quelque chose s'est mal passé,შეცდომა მოხდა,Что-то пошло не так
common.file,File,Datei,Archivo,Fichier,ფაილი,Файл
common.gallery,Gallery,Galerie,Galería,Galerie,გალერეა,Галерея
common.general,General,Allgemein,General,Général,ზოგადი,Общее
common.largest_first,Largest first,Höchster Betrag zuerst,Mayor importe primero,Montant le plus élevé d'abord,დიდი თანხა პირველი,По убыванию суммы
common.loading,Loading…,Wird geladen…,Cargando…,Chargement…,იტვირთება…,Загрузка…
common.name_az,Name A→Z,Name A→Z,Nombre A→Z,Nom A→Z,სახელი ა→ჰ,Имя А→Я
common.name_za,Name Z→A,Name Z→A,Nombre Z→A,Nom Z→A,სახელი ჰ→ა,Имя Я→А
common.newest_first,Newest first,Neueste zuerst,Más recientes primero,Plus récents d'abord,ახალი პირველი,Сначала новые
common.oldest_first,Oldest first,Älteste zuerst,Más antiguos primero,Plus anciens d'abord,ძველი პირველი,Сначала старые
common.refresh,Refresh,Aktualisieren,Actualizar,Actualiser,განახლება,Обновить
common.rename,Rename,Umbenennen,Renombrar,Renommer,გადარქმევა,Переименовать
common.retry,Retry,Wiederholen,Reintentar,Réessayer,ხელახლა ცდა,Повторить
common.save,Save,Speichern,Guardar,Enregistrer,შენახვა,Сохранить
common.select,Select,Auswählen,Seleccionar,Sélectionner,არჩევა,Выбрать
common.select_all,Select All,Alle auswählen,Seleccionar todo,Tout sélectionner,ყველას არჩევა,Выбрать всё
common.settled_up,All settled up,Alles beglichen,Todo liquidado,Tout réglé,ყველაფერი ანაზღაურებულია,Все расчёты выполнены
common.smallest_first,Smallest first,Niedrigster Betrag zuerst,Menor importe primero,Montant le plus faible d'abord,მცირე თანხა პირველი,По возрастанию суммы
common.sort,Sort,Sortieren,Ordenar,Trier,დალაგება,Сортировка
common.sort_largest,Largest,Größte,Mayores,Plus grands,დიდი,Большие
common.sort_newest,Newest,Neueste,Más recientes,Récents,ახალი,Новые
common.sort_oldest,Oldest,Älteste,Más antiguos,Anciens,ძველი,Старые
common.sort_smallest,Smallest,Kleinste,Menores,Plus petits,მცირე,Маленькие
common.today_prefix,Today,Heute,Hoy,Aujourd'hui,დღეს,Сегодня
create_group.add_later_hint,You can add members now or later from the group page.,Du kannst Mitglieder jetzt oder später von der Gruppenseite hinzufügen.,Puedes añadir miembros ahora o más tarde desde la página del grupo.,Vous pouvez ajouter des membres maintenant ou plus tard depuis la page du groupe.,წევრები შეგიძლიათ დაამატოთ ახლა ან მოგვიანებით ჯგუფის გვერდიდან.,Вы можете добавить участников сейчас или позже со страницы группы.
create_group.add_members,Add Members (optional),Mitglieder hinzufügen (optional),Añadir miembros (opcional),Ajouter des membres (optionnel),წევრების დამატება (სურვილისამებრ),Добавить участников (необязательно)
create_group.appearance,Group Appearance,Gruppenaussehen,Apariencia del grupo,Apparence du groupe,ჯგუფის გარეგნობა,Внешний вид группы
create_group.choose_gallery,Choose from Gallery,Aus Galerie auswählen,Elegir de la galería,Choisir dans la galerie,გალერიიდან არჩევა,Выбрать из галереи
create_group.colour,Colour,Farbe,Color,Couleur,ფერი,Цвет
create_group.could_not_create,Could not create group. Check your connection.,Gruppe konnte nicht erstellt werden. Verbindung prüfen.,No se pudo crear el grupo. Comprueba la conexión.,Impossible de créer le groupe. Vérifiez la connexion.,ჯგუფის შექმნა ვერ მოხდა. შეამოწმეთ კავშირი.,Не удалось создать группу. Проверьте соединение.
create_group.create_btn,Create Group,Gruppe erstellen,Crear grupo,Créer le groupe,ჯგუფის შექმნა,Создать группу
create_group.create_with_members_one,Create Group with 1 member,Gruppe mit 1 Mitglied erstellen,Crear grupo con 1 miembro,Créer le groupe avec 1 membre,ჯგუფის შექმნა 1 წევრით,Создать группу с 1 участником
create_group.create_with_members_other,Create Group with {count} members,Gruppe mit {count} Mitgliedern erstellen,Crear grupo con {count} miembros,Créer le groupe avec {count} membres,ჯგუფის შექმნა {count} წევრით,Создать группу с {count} участниками
create_group.creating,Creating…,Erstellen…,Creando…,Création…,იქმნება…,Создаю…
create_group.group_currency,Group Currency (optional),Gruppenwährung (optional),Moneda del grupo (opcional),Devise du groupe (optionnel),ჯგუფის ვალუტა (სურვილისამებრ),Валюта группы (необязательно)
create_group.group_currency_subtitle,Expenses in this group will display totals in this currency.,Ausgaben in dieser Gruppe werden in dieser Währung angezeigt.,Los totales de gastos del grupo se mostrarán en esta moneda.,Les totaux des dépenses du groupe seront affichés dans cette devise.,ჯგუფის ხარჯების ჯამი ამ ვალუტაში ნაჩვენები იქნება.,Итоги расходов группы будут отображаться в этой валюте.
create_group.group_name,Group Name,Gruppenname,Nombre del grupo,Nom du groupe,ჯგუფის სახელი,Название группы
create_group.group_name_hint,"e.g. Barcelona trip, Flat mates…","z.B. Barcelona-Reise, Wohngemeinschaft…","p.ej. Viaje a Barcelona, Compañeros de piso…","ex. Voyage à Barcelone, Colocataires…","მაგ. ბარსელონა, ბინის მოიჯარეები…","напр. Барселона, Квартира…"
create_group.icon,Icon,Symbol,Icono,Icône,ხატულა,Иконка
create_group.members_count,Members ({count}),Mitglieder ({count}),Miembros ({count}),Membres ({count}),წევრები ({count}),Участники ({count})
create_group.no_users_found,"No users found for ""{query}"".","Keine Benutzer für ""{query}"" gefunden.","No se encontraron usuarios para ""{query}"".","Aucun utilisateur trouvé pour ""{query}"".","მომხმარებლები ""{query}"" ვერ მოიძებნა.",Пользователи «{query}» не найдены.
create_group.partial_add_failed,"Group created, but could not add: {names}. Try adding them from the group page.","Gruppe erstellt, aber konnte nicht hinzufügen: {names}. Versuchen Sie es von der Gruppenseite.","Grupo creado, pero no se pudo añadir: {names}. Inténtalo desde la página del grupo.","Groupe créé, mais impossible d'ajouter : {names}. Essayez depuis la page du groupe.","ჯგუფი შეიქმნა, მაგრამ ვერ დაემატა: {names}. სცადეთ ჯგუფის გვერდიდან.","Группа создана, но не удалось добавить: {names}. Попробуйте со страницы группы."
create_group.pick_colour,Pick a colour,Farbe wählen,Elegir color,Choisir une couleur,ფერის არჩევა,Выбрать цвет
create_group.please_enter_name,Please enter a group name.,Bitte Gruppennamen eingeben.,"Por favor, introduce un nombre de grupo.",Veuillez entrer un nom de groupe.,გთხოვთ შეიყვანოთ ჯგუფის სახელი.,"Пожалуйста, введите название группы."
create_group.quick_add,Quick Add,Schnell hinzufügen,Añadir rápido,Ajout rapide,სწრაფი დამატება,Быстрое добавление
create_group.remove_photo,Remove Photo,Foto entfernen,Eliminar foto,Supprimer la photo,ფოტოს წაშლა,Удалить фото
create_group.search_currency,"Search currency (e.g. EUR, GEL…)","Währung suchen (z.B. EUR, GEL…)","Buscar moneda (p.ej. EUR, GEL…)","Rechercher une devise (ex. EUR, GEL…)","ვალუტის ძებნა (მაგ. EUR, GEL…)","Поиск валюты (напр. EUR, GEL…)"
create_group.search_hint,"Search by name, @nickname or email…","Nach Name, @Nickname oder E-Mail suchen…","Buscar por nombre, @apodo o email…","Rechercher par nom, @pseudo ou email…","ძიება სახელით, @მეტსახელით ან email-ით…","Поиск по имени, @никнейму или email…"
create_group.search_unavailable,Search unavailable. Check connection.,Suche nicht verfügbar. Verbindung prüfen.,Búsqueda no disponible. Comprueba la conexión.,Recherche indisponible. Vérifiez la connexion.,ძიება მიუწვდომელია. შეამოწმეთ კავშირი.,Поиск недоступен. Проверьте соединение.
create_group.take_photo,Take a Photo,Foto aufnehmen,Hacer una foto,Prendre une photo,ფოტოს გადაღება,Сфотографировать
create_group.title,New Group,Neue Gruppe,Nuevo grupo,Nouveau groupe,ახალი ჯგუფი,Новая группа
create_group.use_default_currency,Use my default currency,Meine Standardwährung verwenden,Usar mi moneda predeterminada,Utiliser ma devise par défaut,ჩემის ნაგულიერი ვალუტა,Использовать валюту по умолчанию
