page,english_text,de,ru,ka,fr,es
privacy,"with the subject ""Data Export Request"". We will provide a JSON or CSV file of your data within",,,,,
privacy,© 2026 SetAll,,,,,
privacy,⚖️,,,,,
terms,", without regard to its conflict of law provisions.",,,,,
terms,1. Acceptance of Terms,,,,,
terms,10. Indemnification,,,,,
terms,11. Termination,,,,,
terms,12. Governing Law and Dispute Resolution,,,,,
terms,13. Changes to Terms,,,,,
terms,13a. Service Availability,,,,,
terms,14. Contact Us,,,,,
terms,2. Description of Service (Non-Custodial Nature),,,,,
terms,2a. AI-Powered Features Disclaimer,,,,,
terms,3. Eligibility and Account Security,,,,,
terms,4. Acceptable Use and User Conduct,,,,,
terms,5. Intellectual Property Rights,,,,,
terms,6. User Content,,,,,
terms,6a. Shared Group Data and Account Deletion,,,,,
terms,7. Third-Party Services and Links,,,,,
terms,8. Disclaimer of Warranties,,,,,
terms,9. Limitation of Liability,,,,,
terms,"Any bugs, glitches, or errors in calculations provided by the Service;",,,,,
terms,"Any conduct or content of any third party on the Service, including disputes over unpaid debts between users;",,,,,
terms,"Before initiating any formal proceeding, you agree to contact us at",,,,,
terms,Contact,,,,,
terms,Data Transmitted:,,,,,
terms,Download,,,,,
terms,EU Online Dispute Resolution:,,,,,
terms,Effective Date: March 2026,,,,,
terms,Formal Disputes:,,,,,
terms,"Harass, abuse, threaten, or defraud other users.",,,,,
terms,Help & Support,,,,,
terms,If you delete your account:,,,,,
terms,"If you have any questions or concerns about these Terms, please contact us at:",,,,,
terms,Informal Resolution:,,,,,
terms,No Guarantee of Accuracy:,,,,,
terms,Not Financial Advice:,,,,,
terms,Not a Financial Institution:,,,,,
terms,Privacy Policy,,,,,
terms,Republic of Georgia,,,,,
terms,SetAll,,,,,
terms,"SetAll Fintech Systems | 56 Tbilisi-Kojori st, Tbilisi, Georgia",,,,,
terms,SetAll is,,,,,
terms,Sign In,,,,,
terms,Terms of Service,,,,,
terms,Terms of Service | SetAll,,,,,
terms,"The Service is provided on an ""AS IS"" and ""AS AVAILABLE"" basis.",,,,,
terms,These Terms shall be governed by and construed in accordance with the laws of the,,,,,
terms,"Unauthorized access, use, or alteration of your transmissions or content.",,,,,
terms,"Upload, post, or transmit any material that contains software viruses, malware, or malicious code.",,,,,
terms,"Use the Service to facilitate, track, or hide illegal transactions, illicit goods, fraud, or money laundering.",,,,,
terms,User Responsibility:,,,,,
terms,You agree to use the Service only for lawful purposes. You agree,,,,,
terms,You may request full anonymisation of your contributions by contacting us at,,,,,
terms,Your access to or use of or inability to access or use the Service;,,,,,
terms,and attempt to resolve the dispute informally. We will make good faith efforts to resolve any complaint within 30 days.,,,,,
terms,contact@setall.app,,,,,
terms,ec.europa.eu/consumers/odr,,,,,
terms,not,,,,,
terms,prior to account deletion.,,,,,
terms,to:,,,,,
terms,© 2026 SetAll,,,,,
terms,⚖️,,,,,
